date,value
2024-09-30,118.94
2024-10-01,121.01
2024-10-02,119.58
2024-10-03,120.61
2024-10-04,119.35
2024-10-05,118.85
2024-10-06,119.67
2024-10-07,118.71
2024-10-08,117.84
2024-10-09,119.03
2024-10-10,116.99
2024-10-11,116.79
2024-10-12,119.12
2024-10-13,121.48
2024-10-14,119.41
2024-10-15,118.04
2024-10-16,116.93
2024-10-17,118.96
2024-10-18,120.77
2024-10-19,122.60
2024-10-20,121.96
2024-10-21,120.29
2024-10-22,121.90
2024-10-23,122.89
2024-10-24,123.44
2024-10-25,125.85
2024-10-26,126.63
2024-10-27,124.14
2024-10-28,125.71
2024-10-29,124.70
2024-10-30,125.51
2024-10-31,127.71
2024-11-01,125.84
2024-11-02,123.90
2024-11-03,121.95
2024-11-04,122.21
2024-11-05,121.10
2024-11-06,121.61
2024-11-07,122.67
2024-11-08,121.22
2024-11-09,121.87
2024-11-10,120.72
2024-11-11,120.66
2024-11-12,122.62
2024-11-13,124.32
2024-11-14,122.29
2024-11-15,121.92
2024-11-16,120.83
2024-11-17,118.43
2024-11-18,119.71
2024-11-19,120.37
2024-11-20,119.22
2024-11-21,120.37
2024-11-22,120.62
2024-11-23,120.27
2024-11-24,117.91
2024-11-25,115.91
2024-11-26,117.69
2024-11-27,119.59
2024-11-28,119.81
2024-11-29,121.41
2024-11-30,121.81
2024-12-01,120.10
2024-12-02,118.31
2024-12-03,117.40
2024-12-04,119.27
2024-12-05,120.68
2024-12-06,122.42
2024-12-07,124.37
2024-12-08,122.93
2024-12-09,121.70
2024-12-10,119.77
2024-12-11,121.11
2024-12-12,122.97
2024-12-13,122.51
2024-12-14,123.10
2024-12-15,121.40
2024-12-16,123.49
2024-12-17,125.29
2024-12-18,127.68
2024-12-19,129.27
2024-12-20,131.24
2024-12-21,128.75
2024-12-22,129.97
2024-12-23,129.10
2024-12-24,131.32
2024-12-25,132.91
2024-12-26,134.85
2024-12-27,136.53
2024-12-28,135.26
2024-12-29,136.81
2024-12-30,134.67
2024-12-31,136.67
2025-01-01,138.63
2025-01-02,137.09
2025-01-03,138.83
2025-01-04,138.61
2025-01-05,137.53
2025-01-06,139.15
2025-01-07,137.63
2025-01-08,135.01
2025-01-09,133.35
2025-01-10,132.43
2025-01-11,134.36
2025-01-12,136.87
2025-01-13,135.66
2025-01-14,136.43
2025-01-15,135.88
2025-01-16,138.50
2025-01-17,138.70
2025-01-18,141.14
2025-01-19,138.97
2025-01-20,141.58
2025-01-21,139.76
2025-01-22,142.35
2025-01-23,141.01
2025-01-24,138.80
2025-01-25,138.44
2025-01-26,139.71
2025-01-27,138.67
2025-01-28,139.26
2025-01-29,139.32
2025-01-30,138.68
2025-01-31,139.10
2025-02-01,137.74
2025-02-02,138.89
2025-02-03,136.12
2025-02-04,138.44
2025-02-05,138.65
2025-02-06,139.87
2025-02-07,141.22
2025-02-08,142.18
2025-02-09,141.41
2025-02-10,138.98
2025-02-11,139.89
2025-02-12,138.94
2025-02-13,137.91
2025-02-14,139.83
2025-02-15,141.06
2025-02-16,139.93
2025-02-17,138.86
2025-02-18,138.35
2025-02-19,137.81
2025-02-20,136.68
2025-02-21,134.64
2025-02-22,134.21
2025-02-23,136.57
2025-02-24,137.54
2025-02-25,139.76
2025-02-26,140.41
2025-02-27,139.29
2025-02-28,139.56
2025-03-01,136.77
2025-03-02,135.60
2025-03-03,135.22
2025-03-04,135.65
2025-03-05,136.49
2025-03-06,136.30
2025-03-07,135.98
2025-03-08,134.42
2025-03-09,134.28
2025-03-10,136.43
2025-03-11,138.05
2025-03-12,136.23
2025-03-13,133.97
2025-03-14,134.05
2025-03-15,134.76
2025-03-16,133.87
2025-03-17,135.58
2025-03-18,136.94
2025-03-19,137.89
2025-03-20,136.37
2025-03-21,134.73
2025-03-22,132.17
2025-03-23,130.82
2025-03-24,130.69
2025-03-25,132.52
2025-03-26,130.26
2025-03-27,129.81
2025-03-28,130.48
2025-03-29,128.89
2025-03-30,129.90
2025-03-31,129.87
2025-04-01,128.54
2025-04-02,129.34
2025-04-03,126.78
2025-04-04,128.05
2025-04-05,129.43
2025-04-06,127.39
2025-04-07,127.01
2025-04-08,125.36
2025-04-09,127.66
2025-04-10,127.75
2025-04-11,125.45
2025-04-12,124.19
2025-04-13,125.92
2025-04-14,125.70
2025-04-15,127.22
2025-04-16,128.07
2025-04-17,130.57
2025-04-18,131.07
2025-04-19,133.43
2025-04-20,135.52
2025-04-21,136.13
2025-04-22,137.32
2025-04-23,137.35
2025-04-24,139.17
2025-04-25,139.44
2025-04-26,141.66
2025-04-27,143.04
2025-04-28,142.90
2025-04-29,141.52
2025-04-30,140.09
2025-05-01,140.86
2025-05-02,142.36
2025-05-03,142.48
2025-05-04,143.20
2025-05-05,141.91
2025-05-06,139.51
2025-05-07,138.31
2025-05-08,137.05
2025-05-09,136.06
2025-05-10,136.28
2025-05-11,134.31
2025-05-12,132.87
2025-05-13,133.90
2025-05-14,135.01
2025-05-15,132.66
2025-05-16,132.17
2025-05-17,132.40
2025-05-18,131.95
2025-05-19,130.40
2025-05-20,129.98
2025-05-21,132.08
2025-05-22,132.52
2025-05-23,133.56
2025-05-24,135.47
2025-05-25,136.91
2025-05-26,136.25
2025-05-27,133.56
2025-05-28,132.77
2025-05-29,134.12
2025-05-30,136.02
2025-05-31,138.49
2025-06-01,138.04
2025-06-02,139.41
2025-06-03,139.67
2025-06-04,140.25
2025-06-05,138.68
2025-06-06,137.12
2025-06-07,136.77
2025-06-08,134.19
2025-06-09,133.31
2025-06-10,134.27
2025-06-11,133.76
2025-06-12,131.97
2025-06-13,131.80
2025-06-14,129.84
2025-06-15,130.47
2025-06-16,128.00
2025-06-17,127.46
2025-06-18,127.79
2025-06-19,125.37
2025-06-20,126.09
2025-06-21,124.25
2025-06-22,124.06
2025-06-23,121.83
2025-06-24,121.24
2025-06-25,119.84
2025-06-26,119.01
2025-06-27,120.25
2025-06-28,119.67
2025-06-29,120.88
2025-06-30,122.48
2025-07-01,121.27
2025-07-02,119.24
2025-07-03,116.95
2025-07-04,117.13
2025-07-05,119.47
2025-07-06,118.75
2025-07-07,119.46
2025-07-08,120.80
2025-07-09,121.53
2025-07-10,122.77
2025-07-11,124.98
2025-07-12,123.48
2025-07-13,121.11
2025-07-14,119.43
2025-07-15,117.64
2025-07-16,118.44
2025-07-17,118.74
2025-07-18,117.40
2025-07-19,118.34
2025-07-20,119.60
2025-07-21,118.01
2025-07-22,118.52
2025-07-23,119.70
2025-07-24,117.85
2025-07-25,119.36
2025-07-26,121.58
2025-07-27,119.67
2025-07-28,117.40
2025-07-29,116.52
2025-07-30,117.35
2025-07-31,119.50
2025-08-01,119.01
2025-08-02,120.03
2025-08-03,117.99
2025-08-04,118.89
2025-08-05,119.50
2025-08-06,117.60
2025-08-07,118.88
2025-08-08,120.55
2025-08-09,121.03
2025-08-10,119.20
2025-08-11,121.51
2025-08-12,122.88
2025-08-13,122.13
2025-08-14,121.78
2025-08-15,121.15
2025-08-16,121.18
2025-08-17,120.41
2025-08-18,122.09
2025-08-19,123.66
2025-08-20,121.71
2025-08-21,123.95
2025-08-22,124.62
2025-08-23,126.26
2025-08-24,127.31
2025-08-25,126.98
2025-08-26,128.17
2025-08-27,130.56
2025-08-28,129.36
2025-08-29,130.95
2025-08-30,131.15
2025-08-31,131.06
2025-09-01,130.72
2025-09-02,131.93
2025-09-03,130.71
2025-09-04,132.55
2025-09-05,134.30
2025-09-06,132.08
2025-09-07,134.10
2025-09-08,132.73
2025-09-09,132.54
2025-09-10,133.12
2025-09-11,132.48
2025-09-12,129.98
2025-09-13,131.80
2025-09-14,130.12
2025-09-15,128.62
2025-09-16,130.15
2025-09-17,129.32
2025-09-18,131.29
2025-09-19,132.35
2025-09-20,131.17
2025-09-21,128.60
2025-09-22,130.90
2025-09-23,128.73
2025-09-24,129.86
2025-09-25,129.80
2025-09-26,131.14
2025-09-27,132.14
2025-09-28,132.91
2025-09-29,132.86
2025-09-30,134.42
2025-10-01,132.23
2025-10-02,130.76
2025-10-03,131.76
2025-10-04,130.74
2025-10-05,131.17
2025-10-06,131.03
2025-10-07,131.19
2025-10-08,130.80
2025-10-09,132.09
2025-10-10,131.20
2025-10-11,132.26
2025-10-12,131.05
2025-10-13,129.75
2025-10-14,127.78
2025-10-15,126.21
2025-10-16,124.29
2025-10-17,124.47
2025-10-18,125.78
2025-10-19,124.20
2025-10-20,122.79
2025-10-21,122.71
2025-10-22,123.81
2025-10-23,126.17
2025-10-24,126.29
2025-10-25,125.19
2025-10-26,123.19
2025-10-27,121.68
2025-10-28,120.35
2025-10-29,118.81
2025-10-30,116.50
2025-10-31,116.66
2025-11-01,115.61
2025-11-02,117.80
2025-11-03,118.05
2025-11-04,118.98
2025-11-05,117.20
2025-11-06,118.93
2025-11-07,118.89
2025-11-08,120.66
2025-11-09,121.02
2025-11-10,120.87
2025-11-11,120.58
2025-11-12,119.06
2025-11-13,116.92
2025-11-14,118.98
2025-11-15,118.87
2025-11-16,120.40
2025-11-17,119.92
2025-11-18,117.88
2025-11-19,118.49
2025-11-20,116.37
2025-11-21,114.74
2025-11-22,115.03
2025-11-23,114.13
2025-11-24,116.38
2025-11-25,114.60
2025-11-26,115.81
2025-11-27,116.30
2025-11-28,117.65
2025-11-29,116.36
2025-11-30,116.47
2025-12-01,116.24
2025-12-02,115.97
2025-12-03,117.64
2025-12-04,119.95
2025-12-05,119.02
2025-12-06,119.60
2025-12-07,120.12
2025-12-08,121.27
2025-12-09,123.44
2025-12-10,122.00
2025-12-11,120.59
2025-12-12,121.36
2025-12-13,119.70
2025-12-14,118.14
2025-12-15,116.13
2025-12-16,113.82
2025-12-17,113.59
2025-12-18,114.02
2025-12-19,113.07
2025-12-20,111.86
2025-12-21,112.79
2025-12-22,113.71
2025-12-23,113.50
2025-12-24,114.35
2025-12-25,116.29
2025-12-26,117.63
2025-12-27,118.22
2025-12-28,118.98
2025-12-29,121.04
2025-12-30,120.68
2025-12-31,120.90
